source,title,content,date
Breitbart,GOP: WH May Have Illegally Altered Biden's 'Garbage' Remark,"House Republicans say the Biden-Harris White House might have broken the law when they altered President Joe Biden’s remarks in the official transcript to imply he did not call Trump supporters “garbage.”
Biden on Tuesday during a video call with Voto Latino in support of Vice President Kamala Harris’s presidential campaign said, “The only garbage I see floating out there is his supporters.”
However, after facing immediate backlash from Republicans and even some Democrats, the White House claimed that Biden did not call Trump supporters “garbage,” but was instead referring to one Trump supporter — namely, comedian Tony Hinchliffe.
The White House released a transcript that reinforced that argument, adding an apostrophe to “supporters” to read “supporter’s,” and then adding an em-dash to make it seem like Biden had not completed his sentence.
The transcript said (emphasis added):
The only garbage I see floating out there is his supporter’s — his — his demonization of Latinos is unconscionable, and it’s un-American.
Hinchliffe, known for his off-color jokes, had performed at Trump’s Madison Square Garden rally on Sunday and had joked that Puerto Rico was a “floating island of garbage.”
Biden also later posted on X that he was referring to Hinchliffe’s “demonization of Latinos.”
According to House Republican Conference Chair Elise Stefanik (R-NY) and House Oversight Committee Chairman James Comer (R-KY), the White House’s addition of an apostrophe may have violated the Presidential Records Act.
In a letter to White House Counsel Edward Siskel, they demanded that the White House retain and preserve all documents and internal communications related to Biden’s statement and the release of the inaccurate transcript.
They also called on the White House to correct the transcript to reflect what Biden said. They said:
President Biden’s vindictive words were unsurprising, given his previous statements regarding people who choose not to vote for his preferred candidate. Unsurprising too were the White House’s actions after he said them. Instead of apologizing or clarifying President Biden’s words, the White House instead sought to change them (despite them being recorded on video) by releasing a false transcript of his remarks. The move is not only craven, but it also appears to be in violation of federal law, including the Presidential Records Act of 1978.
“White House staff cannot rewrite the words of the President of the United States to be more politically on message. Though President Biden’s relevance continues to diminish, his words continue to matter, even as they become increasingly divisive and erratic,” they added.
Follow Breitbart News’s Kristina Wong on ”X”, Truth Social, or on Facebook.",2024-10-31
Breitbart,Mavericks Principal Owners Donate $100 Million to Republicans Despite Mark Cuban Claiming Trump Has 'Fascist Tendencies',"Miriam Adelson, the principal owner of the NBA’s Dallas Mavericks, has put down $100 million on Donald Trump to win the 2024 presidential election. This is despite the caterwauling of minority owner and extreme left-wing advocate Mark Cuban, who has been all-in for Kamala Harris.
Cuban has jumped in front of every microphone he can find to push for the election of Kamala Harris. Still, the team for which he used to be the majority owner and is now a minority owner is apparently working to the contrary, according to Front Office Sports.
Adelson has been a top Republican donor since inheriting her husband’s fortune. Casino magnate Sheldon Adelson was also a big GOP backer but passed away in 2021. Since then, his wife has kept the GOP faith and remained a top donor.
Miriam Adelson, a doctor who specializes in substance addiction, bought out Mark Cuban’s majority ownership of the Mavericks in 2023. However, Cuban still owns a bit more than one-fourth of the team.
The two, though, could not be more different politically. Cuban, who recently said Trump “absolutely” has “fascist tendencies,” is a staunch left-winger. However, he also claims he has not donated to the Harris campaign despite being a loud mouthpiece for her.
It appears Cuban is unwilling to let political differences stand in the way of making a buck, or several billion of them.
While Adelson is by far the biggest political donor for the GOP in the NBA, several other owners have also contributed hefty cash to politics.
Houston Rockets owner Tilman Fertitta donated $420,000 to several PACs working for Trump’s second term. However, he also gave $13,200 to Harris PACs.
Minnesota Lynx and Timberwolves owner Glen Taylor donated to the GOP, but it wasn’t to Trump. Taylor, who was himself a GOP state senator from Minnesota, donated $2,000 to Nikki Haley before she dropped out of the primary race.
Meanwhile, Sixers Co-Owner David Blitzer also signed on with Haley, making a personal donation of the maximum of $3,300. But since Haley failed, he turned to Harris, giving $31,600 to a Harris PAC.
Meanwhile, Indiana Pacers and Fever owner Herb Simon donated $100,000 to pro-Harris PACs.
Even excluding Adelson, NBA owners have given a bit more to Trump ($424,650) than Harris ($274,800).
Follow Warner Todd Huston on Facebook at: facebook.com/Warner.Todd.Huston, or Truth Social @WarnerToddHuston",2024-10-30
Breitbart,Fact Check: Harris Campaign Twists Trump Comment on Liz Cheney to Claim He Called for Her Execution,"CLAIM: Vice President Kamala Harris’s campaign implied former President Donald Trump called for Liz Cheney to be put before a firing squad.
FACT CHECK: False. Trump’s comments on “guns trained on her face” were about Cheney stoking foreign wars without being willing to fight in their front lines.
Vice President Kamala Harris’s campaign took former President Donald Trump’s words out of context, to suggest that he was calling for Liz Cheney to be put before a firing squad.
Her campaign posted a video of Trump speaking to Tucker Carlson on X/Twitter, with a caption that paraphrased him:
Let’s put Liz Cheney with a rifle standing there with nine barrels shooting at her. Let’s see how she feels about it when the guns are trained on her face
Rather than suggesting she be executed, Trump was speaking about how neoconservatives are quick to send young Americans to fight overseas in war — which Trump has long opposed, particularly the Iraq and Afghanistan Wars championed by Cheney and her father, former Vice President Dick Cheney.
Trump had also said: “They’re all war hawks when they’re sitting in Washington in a nice building saying Oh gee, let’s send 10,000 troops into the mouths of the enemy.”
Karoline Leavitt, Trump Campaign National Press Secretary, blasted the Harris-Walz campaign:
President Trump is 100% correct that warmongers like Liz Cheney are very quick to start wars and send other Americans to fight them, rather than go into combat themselves. This is the continuation of the latest fake media outrage days before the election in a blatant attempt to interfere on behalf of Kamala Harris.
Cheney herself tried to spread the lie, posting on X:
This is how dictators destroy free nations. They threaten those who speak against them with death. We cannot entrust our country and our freedom to a petty, vindictive, cruel, unstable man who wants to be a tyrant. #Womenwillnotbesilenced #VoteKamala
As Democrat operatives tired to spread the false claim, even Trump critic former Rep. Joe Walsh said Trump did not call for her to be put before a firing squad.
He posted on X:
Trump did NOT call for Liz Cheney to be executed.
This is what’s so wrong with our politics today. Look, you know how I feel about Trump, and I’ve been out there every day for 2-3 months campaigning my ass off to help get @KamalaHarris elected, but this short clip is so deceptive. Trump is NOT calling for Liz Cheney to be executed in front of a firing line. He’s not. Listen to the entirety of what he said. In Trump’s typically stupid, ugly fashion, he’s trying to make a point about Cheney’s stance on war. But Aaron (who I like & respect), by posting ONLY this 11 second clip, makes it look like he’s calling for her to be executed. He’s not. He’s an utterly horrible human being who’s utterly unfit for office, but the truth should always matter. And the truth is that Trump is not calling for Liz Cheney to be executed. But…this 11 second clip will have a gazillion views, and the truth will have just a handful of views.
Both former Vice President Cheney and former Wyoming Republican Rep. Cheney has endorsed Harris, with the younger Cheney even campaigning on the trail for her.",2024-11-01
Breitbart,"Harris Co-Chair: She's Different from Biden, He Didn't Have Problem of 'Lowering Costs'","On Tuesday’s broadcast of CNN’s “Laura Coates Live,” Harris Campaign Co-Chair Mitch Landrieu stated that 2024 Democratic presidential candidate Vice President Kamala Harris differentiated herself from President Joe Biden “by saying, listen, I love the President, we did great work together, but I have different problems than he had, the most important of which is lowering costs for the American people. And I think she addressed it really very forthrightly and better tonight than she has in the past.”
Host Laura Coates asked, “On that point of her trying to distinguish herself from Biden, was there a key moment in that speech that you think voters will connect to to suggest, yes, she will be different?”
Landrieu answered, “Well, first of all, it was an incredible night. I was there, and there were 70,000 people there. … We were going to go to Madison Square Garden, but we couldn’t fit. So, we had to go there. It was just a huge turnout and it was exuberant and it was joyful and the environment in which she gave the speech was really uplifting and hopeful, which is what the speech was. It was a fairly detailed speech. She laid out, in clear detail, what the risks are of re-electing Donald Trump. She talked about the fact that, behind her, was the Resolute Desk, and, in seven days the people are going to decide whether she’s going to be sitting there or Donald Trump’s going to be sitting there and she reminded the public that Donald Trump has already talked about, out of his own mouth, spending his time talking about his enemies list, and the fact that she had a to-do list. And then she’s talked about how she is going to build an opportunity economy for all of us, not just some of us, and distinguished herself from Joe Biden by saying, listen, I love the President, we did great work together, but I have different problems than he had, the most important of which is lowering costs for the American people. And I think she addressed it really very forthrightly and better tonight than she has in the past.”
Follow Ian Hanchett on Twitter @IanHanchett",2024-10-29
Breitbart,Quinnipiac Poll: Trump Takes Lead in Pennsylvania,"Former President Donald Trump has a two point lead in a hypothetical two-way race with Vice President Kamala Harris in Pennsylvania (49-47 percent), a seven point swing since September 16, Quinnipiac survey found Wednesday.
Trump’s lead is just within the margin of error of 2.1 percentage points. The poll sampled 2,186 likely voters in Pennsylvania from October 24 – 28.
The poll by Quinnipiac, which often leans left, suggests Trump holds the momentum during the period of early voting with less than a week until Election Day.
Below is the trend of the last three Quinnipiac surveys demonstrating the momentum:
October 28
- Trump: 49% (+2)
- Harris: 47%
October 7
- Harris: 49% (+2)
- Trump: 47%
September 16
- Harris: 51% (+5)
- Trump: 46%
The poll’s analysis suggested that the gender gap increased:
Men back Trump 57 – 37 percent, while women back Harris 55 – 39 percent. In Quinnipiac University’s October 9 poll, men backed Trump 52 – 41 percent, while women backed Harris 55 – 40 percent.
“The gender gap widens with Trump increasing his lead among men, as what remains a very tight race heads into the final stretch,” Quinnipiac University Polling Analyst Tim Malloy said in a statement.
Wendell Husebo is a political reporter with Breitbart News and a former RNC War Room Analyst. He is the author of Politics of Slave Morality. Follow Wendell on “X” @WendellHusebø or on Truth Social @WendellHusebo.",2024-10-30
Breitbart,Dem Rep. Frost: Biden Called Trump Supporters Garbage Because He Was 'Very Angry',"Representative Maxwell Frost (D-FL) claimed Wednesday during an appearance on “CNN News Central” that President Joe Biden misspoke when he called supporters of former President Donald Trump garbage because he was “very angry.”
Co-host Brianna Keilar said, “The Harris campaign, needing to refocus the narrative today after President Biden appeared to refer to supporters of Donald Trump as garbage. A remark, he later tried to clarify saying that he was referring only to comedian Tony Hinchcliffe.”
She asked, “The White House is sort of saying this was about him saying supporter’s, apostrophe s. I just wonder if when you’re debating the existence of an apostrophe if you’ve lost the argument here?”
Frost said, “The comments that we heard at that rally were completely disgusting about Puerto Rican Americans. I was very angry about it and I think the president was very angry about it, thinking about and talking about it. I think he misspoke.”
He added, “He’s someone who loves every American I think he misspoke because he was angry thinking about the bigotry we heard at Madison Square Garden. Honestly, I think that’s it.”
Keilar said, “You think he misspoke. Do you do you think that there actually is an apostrophe s, that he was talking about Hinchcliffe?”
Frost said, “The president was talking about that guy specifically, but also just everything said from that stage at that rally.”
Follow Pam Key on X @pamkeyNEN",2024-10-30
Breitbart,Rashida Tlaib Chooses Not to Endorse Kamala Harris at UAW Rally,"Rep. Rashida Tlaib (D-MN) refused to endorse Vice President Kamala Harris on Friday while encouraging people in Michigan not to “underestimate the power” they have.
During a United Auto Workers (UAW) union rally in Detroit, Michigan, Tlaib encouraged Michigan voters to make their voices heard in the election and to”turn out people” to cast their vote, according to Detroit News.
While Tlaib declined to endorse Harris, in a post on X, she described former President Donald Trump as being “a proud Islamophobe” and a “serial liar who doesn’t stand for peace.”
Tlaib’s made these comments about Trump as his support among the Arab American and Muslim American community has increased and as he has received endorsements from Muslim Americans in Michigan.
“Don’t underestimate the power you all have,” Tlaib said. “More than those ads, those lawn signs, those billboards, you all have more power to turn out people that understand we’ve got to fight back against corporate greed in our country.”
The outlet noted that Tlaib “focused her speech to UAW members on down ballot races”:
She focused her speech to UAW members on down ballot races, specifically the judicial races, voicing support for Democratic-nominated Michigan Supreme Court candidates Kyra Harris Bolden and Kimberley Thomas in their respective races against Republicans Patrick O’Grady and Andrew Fink.
In May, Tlaib suggested that people vote against President Joe Biden, who was the Democrat Party’s presidential nominee at the time, because of the current administration’s handling of the Israel and Hamas war.
While Tlaib did not deliver an endorsement of Harris at the UAW rally, Rep. Alexandria Ocasio-Cortez (D-NY) said that Michigan was “the place where miracles happen,” adding that it would “deliver a Kamala Harris presidency,” according to the outlet.",2024-11-02
Breitbart,"Ukraine and Russia Exchange Drone Strikes, Child Injured","KYIV, Ukraine (AP) – Russia and Ukraine exchanged scores of drone strikes Wednesday as North Korea’s top diplomat arrived in Russia for talks after his country reportedly deployed thousands of soldiers to help Moscow’s war efforts.
Ukraine’s air force said that Russia launched 62 drones and one missile overnight, adding that 33 of them were intercepted and 25 were jammed.
The drones struck a residential building and a kindergarten in Kyiv, injuring nine people, including a child, according to the city administration. “Russian drones did not change their constant tactics – they approached the capital from different directions, at different heights,” it said.
Russian attacks also targeted other regions of Ukraine, killing at least four and injuring about 30 others over the past 24 hours, authorities said.
At the same time, Russian forces have pressed their slow-moving offensive in eastern Ukraine. In Moscow, the Defense Ministry announced the capture of the village of Kruhlyakivka in the Kharkiv region.
The ministry said that air defenses downed 25 Ukrainian drones over several regions in the country’s west and southwest.
The new attacks come as North Korea’s Foreign Minister Choe Son Hui arrived in Moscow for talks that South Korea’s spy agency said could involve discussions on sending additional troops to Russia and what the North would get in return.
The Pentagon said North Korea has sent about 10,000 troops to Russia, and that they will likely fight against Ukraine “over the next several weeks.”
Maj. Gen. Pat Ryder, the Pentagon press secretary, said Tuesday that a “relatively small number” of North Korean troops are now in the Kursk region, where Russia has struggled to push back a Ukrainian incursion.",2024-10-30
Breitbart,"Dingell on Harris Promising to Turn Page as VP: I Think 'Loyalty Matters', She Gets Issues","During an interview with the Fox News Channel aired on Friday’s “Special Report,” Rep. Debbie Dingell (D-MI) responded to a question on how 2024 Democratic presidential candidate Vice President Kamala Harris talks about turning the page when she is the sitting Vice President and President Joe Biden polls poorly on the economy by stating that “she understands the issues.” And “I’m one of those old-fashioned people that thinks loyalty matters. So, she’s got to be respectful, talk more about what her economic plans are.”
Host Bret Baier asked, [relevant exchange begins around 1:45] “How do you talk about the turn the page thing with the sitting Vice President, who’s the Vice President of the President who has low approval ratings when it comes to the economy?”
Dingell responded, “Look, I know that she understands the issues. It’s very — loyalty, I’m one of those old-fashioned people that thinks loyalty matters. So, she’s got to be respectful, talk more about what her economic plans are. I’ve said to them, I said a month ago, union halls don’t know who she is. They’ve got to know that she’s going to go in and fight for them. They know who Donald Trump is.”
Follow Ian Hanchett on Twitter @IanHanchett",2024-11-02
Breitbart,Brett Favre Compares America During Trump's First Term to the Packers: 'A Winner',"NFL Hall of Famer and Packers legend Brett Favre knows what a winning organization looks like, and he sees a winner when hearkens back to America under President Trump.
Speaking at Wednesday’s Trump rally at the Resch Center in Green Bay, Wisconsin, the Packer legend addressed the assembled crowd in a language they would immediately understand.
“Much like the Packers organization, Donald Trump and his organization is a winner,” Favre said. “The United States of America won with his leadership.”
Favre’s presence on the podium at a political rally shocked many, not the least of whom was Favre, who said he never envisioned himself back in Green Bay, speaking to the Packer faithful in that kind of setting.
However, as Favre explained, the state of the world and our country’s dire straits compelled him to speak.
“I think there’s never been a more important time in our lives than right now in this election,” Favre said. “First and foremost, are there any Packer fans in the house?”
Predictably, that question got a resounding roar. However, other parts of Favre’s speech would also be warmly welcomed. For example, he likened the repeated failures and struggles during the early part of his career with the Packers to the current failures of the Biden-Harris administration and the “insanity” of expecting anything to get better unless changes were made.
“Sounds like the first couple of years of my tenure here with the Packers,” Favre said. “Mike Holmgren would say, ‘What in the hell are you doing, Brett?’ I said, ‘Hell, I don’t know, Mike.’ But we figured out a way to get it done.
“It would be insane to give Kamala four more years in office,” Favre exclaimed.
The Packer legend also rebuked President Biden for calling Trump’s supporters “garbage.”
“I can assure you we’re not garbage. How dare he say that? I see police officers, teachers, nurses, grandparents, students. I see everyday Americans that make this country great,” Favre explained.",2024-11-01
