source,title,content,date
News Max,"Harris Tries Out New Ways of Reaching Voters, but She's Running Out of Time","Inside a small community theater in suburban Detroit, Vice President Kamala Harris was asked at a recent forum to talk about her life for the benefit of voters who are still getting to know her.
It was the type of question typically asked of a new candidate. But here was Harris getting it less than two weeks before the Nov. 5 election and after millions of people already had voted. Her response underscored perhaps the defining challenge of her campaign for the White House.
“How much time do we have?"" Harris quipped.
The fact is, not much.
Any candidate’s most valuable resource is time, and from the start, Harris has been historically constrained. The Democratic nominee has been running for only three months after Democratic President Joe Biden dropped out of the race, and Harris still is confronting voters who say they want to learn more about who she is or how she will govern.
Her public events have tended toward large rallies where crowds ride high on vibes and Harris delivers variations on her standard stump speech. In the past week or so, though, she has added events in more intimate settings, lower-key church services and black box theater sit-downs where the conversations can be more revealing.
“I have lived a full life,” Harris told the Michigan audience. “I am a wife, I am a mother, I am a sister, I am a godmother. I love to cook.”
Harris, 60, is a relative newcomer on the national political stage.
Much of her career, as she often reminds voters, was outside of Washington, in California as a prosecutor and state attorney general. That was followed by a four-year stint in the Senate and a flame-out in the 2020 race for the White House. Her time as vice president boosted her profile, but nothing like what a traditional candidate would have at this stage in the race.
“Harris, comparably, is still such a relatively unknown quantity as a candidate,"" said Kevin Madden, a political strategist who worked on three presidential campaigns. ""It takes years to build up the kind of national profile that can withstand the brutality of a presidential campaign.""
Biden ran several times before he won the nomination and had three decades of public service on his resume, including eight years as vice president. Democrat Barack Obama started to build his profile during John Kerry's presidential campaign in 2004 and the midterm elections in 2006 before his two-year quest for what would be his first term in the White House. On the Republican side, the Bush family brand was built through multiple presidential campaigns over two decades.
“It was always going to be a major, major challenge to build and execute a presidential campaign unique to Harris in the space of 108 days,” Madden said.
Republican Donald Trump, meanwhile, is a known quantity. He had near-universal name recognition even before his 2016 campaign, owing to his time in reality television.
To Harris and her aides, the shortened campaign has offered advantages and challenges. But with no way to change the reality of that political timeline, they can only try to make the most of it.
That makes for an endless series of tough choices: where to go, what to talk about, with whom to speak. Those challenges come into focus in the final weeks of any campaign, but for Harris they have been a central feature in her sprint.
Aides have framed the campaign in different phases.
In the opening days, Harris prioritized locking down the nomination and staving off any would-be challengers. Then she shifted to trying to introduce herself on her own terms to the public. That meant talking about her biography, but also her governing philosophy, particularly on economic issues, as potential voters complained they did not know what she was about.
Along the way, she has returned to Washington for duties associated with her office, trying to play up the government's competence in response to natural disasters and to show her national security credentials in approaching wars overseas.
“The hill was a little steeper for her to climb because of the truncated nature of the race, but that’s why she’s doing everything she possibly can,” said Eric Schultz, who served as deputy White House press secretary under Obama.
In recent weeks, Harris has spoken more frankly about the summer Sunday when Biden dropped out of the race and handed her the keys to the campaign. She offered voters a new glimpse into her faith, looking to harness a profound political moment into an opportunity to connect with voters.
“It was an extraordinary day that Sunday when the president called me, and I instinctively understood the gravity of the moment, the seriousness of the moment,” she said during a CNN town hall.
So she called her pastor, she said. “I needed that spiritual kind of connection, I needed that advice, I needed a prayer."" She added she prays every day.
The event in suburban Detroit was one of three in crucial Midwestern states this past week in which Harris, joined by Liz Cheney, a prominent Republican critic of Trump who has endorsed the Democrat, answered questions from a moderator and audiences of undecided voters. It was a different version of the vice president from the one seen in her rallies, more relaxed and talkative.
Rita Peterson, 48, said she came away impressed by Harris' ability to connect.
“I think when you come from a place of joy and you come from a place of wanting to work together to move forward, I think there are a lot of people who want to be a part of that and want to move forward together,” she said.
In the closing days of her campaign, Harris is zeroing in on drawing a contrast with Trump. She will return to the site near the White House where Trump helped incite the mob on Jan. 6, hoping it will crystalize for voters the fight between defending democracy and sowing political chaos.
She will give a speech at the Ellipse on Tuesday — one week before Election Day — to urge the nation to “turn the page.”
Copyright 2024 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed without permission.",2024-10-27
News Max,Biden Admin Races to Spend Climate Cash,"Fearing that Donald Trump could kill off green initiatives if he wins the U.S. election, President Joe Biden's administration is racing to spend the tens of billions of dollars it had earmarked for climate action.
Trump, who is running against Vice President Kamala Harris to succeed Biden, has put the president's climate and energy agenda in the crosshairs on the campaign trail.
Biden is facing the prospect that a Republican-controlled Washington could roll back or curtail a signature achievement - his climate and social spending law - meaning billions in clean energy funding could hinge on who wins the Nov. 5 election.
""The Biden-Harris administration is trying to get this money out the door and get it fully obligated,"" said Katie Harris with BlueGreen Alliance, a coalition of union and environmental groups.
""It's quite the undertaking,"" she said.
As it stands, while billions in climate funding have been allocated since Biden signed the ""Inflation Reduction Act"" two years ago, there is still a sizable chunk on the table and precious little time to get it out.
BlueGreen's Harris said it would be ""messy"" for Republicans to roll back funding without controlling both the White House and Congress - but said Trump could certainly try to slow things down.
JOBS BOOM
The original $380 billion price tag for the clean energy provisions of the IRA now tops $1 trillion over 10 years, according to estimates, due in large part to the greater-than-expected popularity of tax credits for things such as wind and solar power.
The credits have helped spur more than $200 billion in private sector investment in electric vehicles and batteries alone, said David Kieve with EDF Action, the political arm of the environmental advocacy group.
""The sooner we see people showing up to work in clean energy jobs created by the Inflation Reduction Act, the harder it's going to be to get rid of any of it because people will see it working better in their communities,"" he said.
The Energy Department released a recent report that found clean energy jobs grew in 2023 at double the rate (4.2%) of jobs in the rest of the economy (2%), adding 142,000 new jobs.
Trump has vowed to rescind unspent funding in the IRA, dismissing spending tied to what he calls the ""Green New Scam"" as inconsequential.
House Speaker Mike Johnson has said he was interested in cutting some IRA spending but suggested he wouldn't necessarily favor a wholesale repeal.
No congressional Republicans voted for the law, but nor are they unified in their opposition.
Eighteen House Republicans wrote to Johnson in August to argue against repealing the law's clean energy tax credits.
""Repealing energy tax credits...would undermine private investments and stop development,"" they said.
""A full repeal would create a worst-case scenario where we would have spent billions of taxpayer dollars and received next to nothing in return.""
Repeal would require support from Congress, but Trump could rewrite or delay implementation rules to try to gum up the rollout.
""Not only does it take some time to kick in, tax credits are over a decade,"" Kieve said. ""Anything that calls into question some of that regulatory certainty damages our ability to move forward quickly and to benefit economically.""
PRAYERS FOR STAFF?
Since Biden signed the measure into law, federal agencies have kicked into overdrive to stand up the law, taking an estimated 350 actions - maybe more - linked to implementation.
""There's just been this really quick ramp-up (on) Inflation Reduction Act funding in 2024,"" said Tom Taylor of Atlas Public Policy, which runs the Climate Program Portal that logs spending from the IRA and Infrastructure Investment and Jobs Act (IIJA).
As of early September, $61 billion in climate funding has been awarded, much of it allocated this year, with about $33 billion, or 35%, in remaining funding, according to forthcoming projections from the group.
That total does not include the tax credits, direct federal spending, or a separate loan program so it constitutes a ""subset"" of the overall climate-related funding in the IRA, Taylor said.
""There's going to be a lot of intense work, I think, to get as much funding out the door as possible,"" Taylor said. ""But based on the current rate of awarding funding, there's no way that they will get all the funding out the door by the end of this administration.""
Among recent spends, the Environmental Protection Agency said it had awarded $27 billion for a ""greenhouse gas reduction fund.""
""That pot of money is just so large and has the potential to roll out all over the country...but I would wonder what kind of shenanigans might be attempted,"" said BlueGreen's Harris.
For now, it's up to the Biden administration to head off the prospect of ""shenanigans"" as best - and quickly - as it can.
""Everyone should say a prayer for agency staff,"" Taylor said. ""They're going to have a busy few months.""
© 2024 Thomson/Reuters. All rights reserved.",2024-10-02
News Max,Trump Blames Lack of Security for Smaller Wisconsin Venue,"Former President Donald Trump has attributed the downsizing of a recent rally in Wisconsin to insufficient security, claiming that the White House prevented a more extensive gathering by failing to provide necessary support.
During a live broadcast on Newsmax, former President Donald Trump, speaking to a crowd in Saginaw, Michigan, voiced his frustration over inadequate security at a recent Wisconsin rally. Originally planned as a large outdoor gathering, the event was scaled down due to what Trump described as insufficient security arrangements.
""I just left Wisconsin. We, four days ago — five days ago — we had a sort of a rally. It wasn't supposed to be. Sixty thousand people showed up in Wisconsin, but the White House wouldn't give us proper security coverage.""
According to Trump, the campaign had anticipated a much larger turnout, but with limited security personnel, the event was moved to a smaller indoor venue.
""So, we end up in a room of about 900 people. You have 60,000 people, 50-60,000 people outside waiting, but they don't want that because they don't want crowds,"" Trump continued.
He labeled the situation a ""disgrace"" and assured his supporters that those unable to attend in Wisconsin remained enthusiastic.
""To those people in Wisconsin that didn't make it, I think they love us. And I think they're going to vote,"" he added.
Multiple sources told CBS News that the planned rally was initially set for an outdoor location at an airport in Wisconsin. However, due to security concerns, the venue was switched to a smaller indoor arena in Prairie du Chien.
The Secret Service, responsible for overseeing security at such events, indicated they were short-staffed, partly due to the annual United Nations General Assembly in New York. The gathering requires additional security resources to protect foreign dignitaries visiting the U.S.
Trump also used the moment to highlight his standing in the polls, claiming, ""By the way, we're up in all of the polls. We're up in every swing state. Doing great.""
About NEWSMAX TV:
NEWSMAX is the fastest-growing cable news channel in America!
- Find Newsmax channel in your home via cable and satellite systems – More Info Here
- Watch Newsmax+ on your home TV app or smartphone and watch it anywhere! Try it for FREE – See More Here: NewsmaxPlus.com
Jim Thomas ✉
Jim Thomas is a writer based in Indiana. He holds a bachelor's degree in Political Science, a law degree from U.I.C. Law School, and has practiced law for more than 20 years.
© 2024 Newsmax. All rights reserved.",2024-10-03
News Max,NY Times/Siena Poll: Harris Leads Trump by 3 Points,"Democrat presidential nominee Kamala Harris leads Republican Donald Trump by 3 points head to head nationally, four weeks away from Election Day, according to the latest New York Times/Siena College poll released Tuesday.
Harris leads Trump 49% to 46%, with 5% refusing to answer or responding ""don't know.""
It's the first time Harris has led in the poll since becoming the Democrat nominee in July, according to the Times. Trump and Harris were tied at 47% each in the NYT/Siena survey in mid-September.
Among independents, however, Trump leads Harris 48% to 47%, according to the poll results. Harris, meanwhile, pulls in 9% of those surveyed identifying as Republican.
Harris also owns a 3-point lead over Trump in a multicandidate field, 47% to 44%, according to the survey. The NYT/Siena poll is in line with the RealClearPolitics national polling average, which shows Harris with a 2-point lead on Tuesday.
In the NYT/Siena poll, Trump leads Harris on the issue of the economy, the No. 1 issue among those surveyed.
Nearly half of those surveyed (47%) said the country's current economic conditions are ""poor,"" and nearly one-third (28%) said the economy was their No. 1 issue in next month's election, more than double the second-biggest issue, abortion (14%), according to the poll.
To that end, Trump leads Harris 48% to 46% as the candidate who would ""do a better job of handling the issue you think is most important,"" according to the survey.
Despite a 3½-year run as vice president in the Biden administration, Harris leads Trump on a question of being the change candidate, 46% to 44%, according to the survey. However, Trump leads Harris 48% to 45% on the question of being a ""strong leader.""
The New York Times/Siena College nationwide poll of 3,385 likely voters was conducted from Sept. 29 to Oct. 6. The margin of sampling error is +/- 2.4 percentage points.
Mark Swanson ✉
Mark Swanson, a Newsmax writer and editor, has nearly three decades of experience covering news, culture and politics.
© 2024 Newsmax. All rights reserved.",2024-10-08
News Max,Biden: 'I Don't Believe There Is Going to Be an All-Out War',"President Joe Biden said on Thursday he did not believe there is going to be an ""all-out war"" in the Middle East, a region that has been on edge amid Israel's assaults in Gaza and Lebanon and escalation of the U.S. ally's tensions with Iran.
The president said that such a war can be avoided but more needed to be done to ensure that.
Asked how confident he was that such a war can be averted, he paused and told reporters: ""How confident are you it's not going to rain? Look, I don't believe there is going to be an all-out war. I think we can avoid it.""
He added: ""But there is a lot to do yet, a lot to do yet.""
When asked if he would send American troops to help Israel, he responded: ""We have already helped Israel. We are going to protect Israel.""
Tensions between Iran and Israel have been high as Israel has been weighing options to respond to Tehran's ballistic missile attack on Tuesday, which Iran had carried out in response to Israel's military action in Lebanon.
The latest bloodshed in the decades-old Israeli-Palestinian conflict was triggered by Palestinian Hamas militants' Oct. 7 attack that killed 1,200, with about 250 taken as hostages, according to Israeli tallies. Israel's subsequent assault on Hamas-governed Gaza has killed over 41,000 Palestinians, according to Gaza health ministry, and displaced nearly Gaza's entire population, caused a hunger crisis and led to genocide allegations that Israel denies.
Israel's recent military action in Lebanon has killed hundreds, wounded thousands and displaced a million. Israel says it is targeting Lebanese Iran-backed Hezbollah militants.
© 2024 Thomson/Reuters. All rights reserved.",2024-10-03
News Max,Americans in Puerto Rico Can't Vote for President. Their Anger at Trump Is Bubbling Up Anyway.,"A comic calling Puerto Rico garbage before a packed Donald Trump rally in New York was the latest humiliation for an island territory that has long suffered from mistreatment, residents said Monday in expressions of fury that could affect the presidential election.
Puerto Ricans cannot vote in general elections despite being U.S. citizens, but they can exert a powerful influence with relatives on the mainland. Phones across the island of 3.2 million people were ringing minutes after the speaker derided the U.S. territory Sunday night, and they still buzzed Monday.
Democrat Vice President Kamala Harris is competing with Trump to win over Puerto Rican communities in Pennsylvania and other swing states. Shortly after stand-up comic Tony Hinchcliffe said that, “I don’t know if you guys know this, but there’s literally a floating island of garbage in the middle of the ocean right now. I think it’s called Puerto Rico,” Puerto Rican reggaeton superstar Bad Bunny announced he was backing Harris.
Hinchcliffe's set also included lewd and racist comments about Latinos, Jews and Black people, all key constituencies in the election.
Milagros Serrano, 81, has a son who lives in the swing state of Pennsylvania and said the entire family was outraged by the comedian’s comments.
“He can’t be talking about Puerto Rico like that,” she said as she left for a medical appointment. “He’s the one who’s a piece of garbage.""
Puerto Rico became a U.S. territory in 1917, and the first large wave of migration occurred after World War II to ease labor shortages. There are now more Puerto Ricans in the U.S. than on the island.
Those who stayed behind say they often feel like second-class citizens because they can't vote in presidential elections and receive limited federal funding compared with U.S. states.
That festering resentment erupted when Trump visited Puerto Rico after Hurricane Maria slammed into the island as a powerful Category 4 storm in 2017. Photographed lobbing paper towels into a crowd -- the image is oft cited by Trump critics as evidence of callousness -- he also challenged the storm’s official death toll, with experts estimating that nearly 3,000 people died in the sweltering aftermath.
After Sunday's rally, a senior adviser for the Trump campain, Danielle Alvarez, said in a statement that Hinchcliffe’s joke did “not reflect the views of President Trump or the campaign.”
José Acevedo, a 48-year-old health worker from San Juan, shook his head as he recalled the feelings that coursed through him when he watched the rally.
“What humiliation, what discrimination!” he said early Monday as he waited to catch a public bus to work.
Acevedo said he immediately texted relatives in New York, including an uncle who is a Republican and had planned to vote for Trump.
“He told me that he was going to have to analyze his decision,” Acevedo said, adding that his relatives were in shock. “They couldn’t believe it.”
The comments dominated local news sites late into the night and prompted Jenniffer González, Puerto Rico’s representative in Congress for the pro-statehood New Progressive Party and a Trump supporter, to call them “despicable, misguided and disgusting.”
“They do not represent the values of the GOP,” she said.
Politics in Puerto Rico are defined by the island’s political status, so it’s common to see Democrats and Republicans be members of the same local party.
Meanwhile, Gov. Pedro Pierluisi, a Democrat, wrote on Facebook: “Garbage is what came out of Tony Hinchcliffe’s mouth, and everyone who applauded him should feel ashamed for disrespecting Puerto Rico.”
González, who beat Pierluisi in their party's primary, is leading in the polls as the Nov. 5 election looms.
Sonia Pérez, a 58-year-old parking lot attendant, said she hasn’t voted for a governor in years but is so angry about the comedian’s comments and González’s support for Trump that she plans to reject González and the other candidate representing the two main parties that have long dominated in Puerto Rico.
“It is outrageous that in the 21st century there is so much racism against Latinos when we have contributed so much to the country and it is not recognized,” she said.
Hinchcliffe’s comments also prompted reaction from Puerto Rican stars including Ricky Martin, who previously endorsed Democratic presidential candidate Kamala Harris. He posted a video of the crude joke and wrote, “This is what they think of us.”
Outraged Puerto Ricans posted pictures of their island and its bright turquoise waters on social media with captions including: “I live where you vacation” and “Proud to be from the garbage island.”
Michael Meléndez Ortiz, a 33-year-old unemployed janitor, said he and a friend thought the video was fake at first because they were so taken aback by what the comedian said.
“We must be respected,” he said. “We are good and upstanding people.”
Copyright 2024 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed without permission.",2024-10-28
News Max,"Adams' Fundraising Stalls After Indictment, May Lose Funds","New York Mayor Eric Adams' fundraising has stopped following his federal indictment, threatening his access to vital public matching funds for his 2025 reelection campaign. Despite a significant financial lead over challengers, his legal troubles cast uncertainty over his political future, Politico reported.
Adams, known for his impressive fundraising ability, has seen a notable drop in contributions since his recent federal indictment. In the past 2 1/2 weeks, Adams' campaign has received just a $250 donation, marking a dramatic slowdown for the mayor.
His latest filing with the New York City Campaign Finance Board, covering the past three months, shows that he raised $212,416, a significant dip from his usual fundraising pace.
This drop contrasts sharply with the fundraising surge experienced by former President Donald Trump, who raised over $15 million following his conviction. Trump has aggressively sought donations by leveraging his legal battles, a strategy that Adams has not employed.
Adams' campaign lacks a dedicated website for contributions, and his team does not engage in standard email or text fundraising solicitations. Instead, his efforts have been focused on in-person events, such as a recent fundraiser hosted by his brother at a Chinese restaurant in Queens and a birthday party in Manhattan.
Adams is also raising money for his legal defense fund, though those donations have similarly slowed. A quarterly report on that fund is expected soon, but insiders familiar with the situation have noted a pause in solicitations after the indictment.
Despite the recent decline in contributions, Adams' campaign remains financially robust. His team reported raising $4.14 million for his reelection and still holds $3.11 million in cash. This gives him a substantial advantage over his declared opponents, including City Comptroller Brad Lander and former Comptroller Scott Stringer, who have raised $967,381 and $591,116, respectively.
However, Adams' legal troubles could jeopardize the public matching funds his campaign anticipates. The Campaign Finance Board has not yet decided whether to grant Adams the $4.35 million his team says it has qualified for.
The mayor is accused of running an illegal straw donor scheme, and board officials are expected to factor in the indictment when reviewing his eligibility for public funds. Even if Adams does qualify, the board has already flagged a third of the matching fund claims as ""invalid.""
Adams has refunded nearly $83,000 in donations during this period, a higher-than-usual amount that raises further questions about the status of his fundraising operation. In contrast, Lander is on track to receive as much as $3.49 million in public funds by December, while Stringer expects $2.47 million.
Adams' financial lead could be threatened if his opponents receive matching funds. Lander's campaign is optimistic about the situation.
""With Brad's strong fundraising and major questions swirling around Eric Adams' ability to qualify for matching funds due to his federal indictment, Brad Lander has raised the most money — and has the most to spend — of any candidate for mayor,"" said Lander senior adviser Rebecca Rodriguez.
Jim Thomas ✉
Jim Thomas is a writer based in Indiana. He holds a bachelor's degree in Political Science, a law degree from U.I.C. Law School, and has practiced law for more than 20 years.
© 2024 Newsmax. All rights reserved.",2024-10-15
News Max,"Biden Warns of Threat From Milton, Condemns Misinformation","President Joe Biden warned on Wednesday that Hurricane Milton carried incredible destructiveness, as he urged people to take safe shelter and condemned misinformation about the storm as un-American.
“It’s harmful to those that need help,” Biden said of misinformation on the storm and the government's response.
Biden also said former President Donald Trump, the Republican presidential nominee, was spreading misinformation about the federal hurricane response.
Trump, who is running against Vice President Kamala Harris, the Democratic nominee, has sought to portray the Biden-Harris administration's response to recent storms as ineffective.
“It is dangerous – it is unconscionable, frankly, that anyone who would consider themselves a leader would mislead desperate people to the point that those desperate people would not receive the aid to which they are entitled, and that’s why I call it dangerous,” Harris said, according to CNN.
© 2024 Thomson/Reuters. All rights reserved.",2024-10-09
News Max,Trump Gains Momentum in Swing State Polls as Race Tightens,"Former President Donald Trump is seeing an uptick in key battleground state polls, with Vice President Kamala Harris' early leads fading as the presidential race narrows in its final weeks, The Hill reported.
As the 2024 presidential election nears its final stretch, polls in crucial swing states show a shift toward former President Trump. Polling averages from The Hill and Decision Desk HQ (DDHQ) indicate a tightening race, with both Trump and Vice President Harris having an equal chance of victory. Harris' initial post-debate boost has dissipated, leaving both campaigns in a dead heat.
Trump's polling surge has raised concerns among Democrats, especially given his history of outperforming expectations. However, Harris' team remains hopeful that issues like abortion will energize her base.
Arizona
The Hill/DDHQ average shows that Trump currently leads in Arizona by 1.7 points. Recent polls have solidified his lead, including a New York Times/Siena College poll showing him ahead by 6 points. This marks a significant shift from 2020 when President Biden narrowly won the state. Meanwhile, Arizona's Senate race, featuring Democratic Rep. Ruben Gallego and Republican Kari Lake, is drawing attention, though Harris faces an uphill battle here.
Georgia
Trump holds a 1.9-point lead in Georgia, his largest lead among battleground states. This marks a reversal from earlier polling, which had Harris ahead. A recent Quinnipiac poll showed Trump up by 6 points. Early voting began this week with record turnout, and Harris is set to campaign alongside former President Obama to boost Black voter turnout.
Michigan
In Michigan, Trump holds a narrow 0.7-point lead in The Hill/DDHQ average, while other polling sources show Harris with a slight edge. Concerns over the Biden-Harris administration's stance on Israel may affect Arab American voters in the state, while labor support remains a question mark. Both candidates are effectively tied in recent polls, keeping Michigan highly competitive.
Nevada
Nevada is also closely contested, with Harris leading by just 0.2 points in the Hill/DDHQ average. The state's six electoral votes are crucial, and service industry workers play a key role. Although polling has been sparse in recent weeks, a Trafalgar poll shows Harris up by only 1 point, making Nevada a battleground to watch.
North Carolina
Trump leads by 1 point in North Carolina. Early voting began Thursday, with a record-breaking 353,000 ballots cast on the first day. Harris leads by 3 points in one Quinnipiac poll, but other surveys show Trump with a slight edge. Trump's visit to flood-hit Asheville may have affected voters' views in the state.
Pennsylvania
Pennsylvania, with 19 electoral votes, is critical. Harris holds a slim lead of 0.3 points in the Hill/DDHQ average. Democrats argue that GOP-leaning polls are skewing the numbers, but a New York Times/Siena poll gives Harris a 4-point advantage among likely voters. Both campaigns are investing heavily in the state, with nearly $300 million spent on political ads.
Wisconsin
In Wisconsin, Trump holds a slight 0.5-point lead in the Hill/DDHQ average, with Harris' former 5-point lead eroding. Recent polls favor Trump, making Wisconsin a key battleground.
Jim Thomas ✉
Jim Thomas is a writer based in Indiana. He holds a bachelor's degree in Political Science, a law degree from U.I.C. Law School, and has practiced law for more than 20 years.
© 2024 Newsmax. All rights reserved.",2024-10-19
News Max,"Biden Will Attend Inauguration, Whoever Wins","Saturday, 02 Nov 2024 12:57 PM
Republican candidate Derek Merrin, running in Ohio's 9th Congressional District, told Newsmax Saturday he's working to u . . .
Saturday, 02 Nov 2024 12:57 PM
The United States is spending billions in the defense of Israel without pushing to contain Iran, the ""head of the snake"" . . .",2024-10-30
