source,title,content,date
NPR,Owners of ‘horrific’ funeral home plead guilty to federal fraud charges,"Owners of ‘horrific’ funeral home plead guilty to federal fraud charges
Carie and Jon Hallford have pleaded guilty to federal fraud charges, one year after the married couple fled Colorado, leaving 190 decaying corpses in their funeral home. They were accused of taking money from customers and a pandemic relief fund and spending it on themselves, paying for things like travel, plastic surgery and expensive cars.
The couple have been charged with numerous state and federal crimes. In April, they were indicted on 15 federal counts related to wire fraud and conspiracy charges.
The Hallfords had been set to begin a jury trial on the fraud charges last week, but as that date approached, they asked to change their pleas. They pleaded guilty on Thursday afternoon, at a hearing where victims’ families were able to listen via audioconference.
“The plea agreement, which stipulates that prosecutors will not request over 15 years imprisonment, still has to be approved by the judge,” The Associated Press reports. “It’s unclear when that will happen.”
Federal prosecutors said the pair operated two fraudulent schemes that, together, netted just under $1 million. On one hand, they funneled $882,300 from a COVID-19 relief fund for businesses; on the other, they victimized customers who paid for their loved ones’ remains to be treated legally and with respect.
The Hallfords’ Return to Nature Funeral Home had touted its service as being more natural, pledging to cremate or bury bodies without using embalming fluids or metal caskets.
But in reality, Assistant U.S. Attorney Tim Neff said at a court hearing earlier this year, the Hallford’s funeral home “turned into a macabre and ghoulish house of horrors, where bodies were stacked like cord wood, and left to decay and decompose.”
The duplicity unraveled a year ago, when law enforcement was alerted to a ""horrific"" odor coming from the Hallfords' facility in Penrose, Colo.
For several years, families had been given containers holding the purported cremains of their loved ones — but after discovering the scene at the funeral home last October, law enforcement concluded that the ashes could not have been from bodies sent to the funeral home.
In August, a judge overseeing a civil case ordered the Hallfords to pay $950 million to families whose loved ones’ remains were mishandled — a judgment seen as symbolic, given their lack of substantial assets.
As early as the summer of 2020, the Hallfords were discussing the mounting problem at their main facility, according to text messages quoted in court hearings. In them, Jon Hallford repeatedly cited the difficulty of finding a way to dispose of the bodies, and the threat of being exposed.
In October 2020, he sent a text telling his wife they had four possible options: build a new crematory machine; dig a hole and use lye on bodies; burn the bodies in a hole; or “(d) I go to prison, which is probably what's going to happen.""",2024-10-25
NPR,"The Secret Service admits failures in Butler, Pa., Trump shooting","The Secret Service admits failures in Butler, Pa., Trump shooting
The Secret Service acknowledged Friday failures that led to a gunman being able to wound former President Donald Trump at a rally in Butler, Pa., on July 13.
“It’s important that we hold ourselves to account for the failures of July 13 and that we use the lessons learned to make sure that we do not have another failure like this again,” Ronald Rowe, the acting director of the Secret Service, told reporters.
The agency released the initial findings for its internal review about the Butler incident on Friday, just days after it faced additional criticism over a second alleged gunman who was able to make it within several hundred yards of Trump at his West Palm Beach, Fla., golf course on Sept. 15.
Rowe said that one of the failures in Butler was that the Secret Service deferred too much to local law enforcement on securing buildings near the rally and didn’t provide clear guidance. This allowed the shooter to climb onto the roof of a nearby building and shoot at the former president, he said.
“We need to be clear with our state and local partners on what we’re asking of them,” Rowe said.
The agency's review details, for example, that the local tactical team was inside the building, instead of on the roof — from where the shooter ended up getting a clear shot at the president. That local team had no contact with the Secret Service before the day of the rally.
""Multiple law enforcement entities involved in securing the rally questioned the efficacy of that local sniper team’s positioning in the AGR building, yet there was no follow-up discussion about modifying their position,"" the review found. ""There was also no discussion with Secret Service advance personnel about positioning that team atop the AGR roof. Local sniper support were apparently not opposed to that location.""
Rowe cited “complacency” from other agents, flaws in advanced planning, as well as over-reliance on mobile devices.
The review found that communication broke down on multiple levels. Secret Service agents and local law enforcement officials missed communication in planning, in operations — and on the day of the rally itself, used different radio frequencies that ""were not conducive for quickly sharing real-time information.""
Rowe said employees would be held accountable, declined to give details, but reiterated that contrary to media reports, he did not ask for anyone to resign.
""Robust security"" for Trump
Rowe said since he left office, the former president has had “robust security” — more robust than any former president has ever received. That security was increased to a presidential level after the July 13 shooting.
The Secret Service has come under scrutiny since July, when a gunman fired multiple shots at Trump, the Republican presidential nominee, at the Butler rally, striking Trump’s ear, killing one attendee and wounding two others. The gunman was killed.
Then, two months later, a second alleged gunman came close to Trump — though he did not shoot, and did not have the former president in his sights. The suspect was apprehended.
Rowe said that based on information he had about the second incident, ""I’d say that situation was managed according to our training.” That included the young Secret Service agent taking swift action, reporting shots he fired at the gunman, and communicating via radio.
Still, the multiple attempts have prompted Lowe and other Secret Service personnel to ask Congress for more resources, arguing the agency is limited on personnel and equipment. President Biden has also urged Congress to provide more resources.
On Friday, the House unanimously approved a bill that would direct the Secret Service to give the same protection as the current president and vice president — something the agency said is already happening.
Lawmakers also increased the scope of a bipartisan task force that is investigating the first assassination attempt to also investigate the apparent second attempt. The group of bipartisan House members is expected to file its own report in December.",2024-09-20
NPR,What the Harris campaign is doing to try to win over more Black men,"What the Harris campaign is doing to try to win over more Black men
ROCKY MOUNT, N.C. — From behind her barber chair and in her community, Cherita Evans — who goes by “Storm the Barber” — has picked up on a troubling trend for Vice President Harris’ campaign.
“Most of my female family and friends — they're voting for Harris,” Evans said in an interview at the Head Changerz shop last week. But she said some of the men in her life aren’t so sure. “I think ... a lot of men aren't ready to vote for a woman.”
“In my community, you have a lot of men, who, you know, won’t even be under a female leadership in church,” said Evans.
This is a problem the Harris campaign is racing to address as early voting begins in key states where every vote will count. Polls show former President Donald Trump may be making some inroads with Black male voters — and other Black men may not vote.
That’s why on Tuesday Harris will be taking questions from callers in swing states in a town hall conversation moderated by Charlamagne tha God, an influential Black radio host who has pulled very few punches with Democratic politicians.
The challenge was underscored by former President Barack Obama this week. He spoke what he called “some truths” about how energy and turnout for Harris in Black communities was not what it was when he was running — and said that it “seems to be more pronounced with the brothers.”
“Part of it makes me think that, well, you just aren't feeling the idea of having a woman as president, and you're coming up with other alternatives and other reasons for that,” Obama said.
What Harris is doing to reach Black male voters
Harris’ campaign is working to engage Black male voters, including hosting tailgate events at homecomings at historically Black colleges. Harris also had a conversation on All the Smoke, a podcast hosted by two former NBA stars, where she talked about her identity — something she hasn’t often leaned into on the campaign trail.
This weekend, Harris is in North Carolina meeting local Black leaders. On Sunday, she plans to attend a church service in Greenville, and later hold a rally. The city is in Eastern North Carolina, a section of the state with a large Black population, but where turnout among those voters has lagged in recent years.
Her path to the presidency runs through communities like Rocky Mount, where NPR first met Evans back in May.
At that time, Evans was less than enthusiastic about the election, saying she didn’t like Trump or Biden. Evans was disappointed that Harris had disappeared from the spotlight.
“After she became vice president, it seemed like she just kind of got quiet,” said Evans.
Evans said she thinks Harris is a better candidate than Biden — but not perfect.
“I’m going to be honest with you: I don’t really like Trump, so I am going to vote for her,” said Evans. “But I don’t think she’s done a very great job of addressing the main issues that we are having.”
Like so many voters this year, Evans says gas prices are high and groceries are too expensive. She sees Harris talking about going after companies for price gouging in the ads that show up constantly on the TV in the barbershop — but Evans doesn’t buy that as a real solution.
There's a generational divide in voting
Back in May, Evans was cutting the hair of Christian Pounds, a 22-year-old college student. At the time he didn’t like either candidate and didn’t think his vote would change anything.
Reached on the phone this week, he said he’s definitely planning to vote. “When Biden dropped out, I was kind of happy,” Pounds said, explaining he thought Biden was too old for the job.
The other night, Pound says he got into a heated discussion with his uncle and his cousin about voting. His cousin isn’t planning to vote. “My uncle was like, ‘You better vote for Kamala Harris.’”
Pounds said he sees a real generational divide among his friends and family — “the young people vs. the old, when it comes to voting vs. not voting,”
In the neighboring community of Wilson, Mike Harris is a barber at Style Masters. He’s been voting for Democrats all his life, and said he hopes Harris will become the first female president.
But the same isn’t true for all of his clients and friends
“Some people — I don't know if they joking or not — say they are” voting for Trump, said Mike Harris.
“Some people don't believe in female leaders, but I tell them all the time ... my mom raised me and my brother in our house. So I think that, you know, women can do the job,” Mike Harris said.
NPR's Jason Fuller and Gus Contreras contributed to this story.",2024-10-12
NPR,Trump vows to 'steal' jobs from other countries in winding speech on economic plans,"Trump vows to 'steal' jobs from other countries in winding speech on economic plans
SAVANNAH, Ga. — Former President Donald Trump said economic policies he would enact in a second term would create an environment to ""steal"" manufacturing jobs that have moved overseas through tax cuts and tariffs.
In a winding speech in front of about 2,500 raucous supporters in the Johnny Mercer Theatre in Savannah on Tuesday, Trump shared his ideas for a ""manufacturing renaissance"" that he says would bring millions of jobs back to the U.S. from overseas.
""With the vision I'm outlining today, not only will we stop our businesses from leaving for foreign lands, but under my leadership, we're going to take other countries' jobs,"" he said. ""Did you ever hear that expression before? Have you ever heard that we're going to take other countries' jobs? It's never been stated before. We're going to take their factories — and we had it really rocking four years ago — we're going to bring thousands and thousands of businesses and trillions of dollars in wealth back to the good ole' USA.""
Trump called for lowering the corporate tax rate from 21% to 15% for ""those who make their product in the USA,"" continued a push for ""substantial tariffs"" on imported goods and proposed special manufacturing zones on federal land ""with ultra low taxes and regulations for American producers.""
""We're going to use our resources to our benefit,"" Trump said, also touting fewer environmental regulations around manufacturing. ""And it'll be clean and environmentally perfect so that American — and Americans can manufacture everything that we need, the resources we have right here, American soil. It's got everything: it's got the rare earth, it's got the oil, it's got the gas. We have everything — the only thing we don't have is smart people leading our country.""
Trump didn't offer specifics on many proposals. Some economists — and fellow Republicans — have warned that key Trump policies, like expanded tariffs, may hurt American consumers by making things more expensive and could harm American workers if countries enact retaliatory tariffs on exports.
""I’m not a fan of tariffs, they raise the prices for American consumers,"" Senate Republican Leader Mitch McConnell told reporters Tuesday. ""I’m more of a free-trade kind of Republican that remembers how many jobs are created by the exports that we engage in. So, I’m not a tariff fan.""
The main thrust of Trump's address was tax and manufacturing policy, but like most of his speeches it meandered through his typical campaign stump speech themes.
He attacked Vice President Harris as the ""tax queen"" whose proposals to tax unrealized investment gains for certain ultra-wealthy Americans would lead to a financial depression, but also riffed that she had ""bigger cognitive problems"" than President Biden.
He repeated his promise to enact mass deportations of migrants, expounded upon Russia's military history (noting that ""they beat Hitler, they beat Napoleon, that's what they do"") when discussing the war in Ukraine and recounted the two assassination attempts against him this summer, among other deviations from the topic of the economy.
Notably, Trump did not attack Georgia's Republican Gov. Brian Kemp, thanking him for being ""fantastic"" after excoriating Kemp at an Atlanta rally in early August that highlighted the rift between Trump and popular Republicans in the state who did not yield to his demands to overturn the 2020 election.
He did, however, continue to criticize parts of the electric vehicle industry and Biden administration rules around emissions that some Republicans call a ""mandate."" Georgia has quickly become the country's EV manufacturing capital, including a massive Hyundai compound about 25 miles outside of Savannah, the state's largest-ever economic development project that has seen a nearly $8 billion investment.
Trump's latest visit to Georgia comes as polls show the former president's likeliest path to victory runs through Georgia, North Carolina and Pennsylvania.
Trump held a rally in Pennsylvania Monday night and heads to North Carolina on Wednesday.",2024-09-24
NPR,Harris urged unity in her closing argument. Biden's 'garbage' line undercut that,"Harris urged unity in her closing argument. Biden's 'garbage' line undercut that
As Vice President Harris headed out to swing states to try after she delivered her closing argument for her campaign — a promised to turn the page on division in the country — she found herself instead having to respond to a divisive remark made by President Biden.
In a video call with a Latino voting group on Tuesday evening, Biden sounded like he was calling supporters of former President Donald Trump ""garbage."" Republicans took offense and drew a through line to Hillary Clinton's 2016 comment about the ""basket of deplorables"" supporting Trump.
Biden and the White House quickly moved to clarify his comment. But Harris — who has been trying to appeal to moderate Republican and independent voters — was peppered with questions about it as she departed for Wednesday stops in North Carolina, Pennsylvania and Wisconsin.
""Let me be clear: I strongly disagree with any criticism of people based on who they vote for,"" Harris told reporters on the tarmac. ""As I have said and will repeat over and over again, I am sincere in what I mean: when elected president of the United States, I will represent all Americans, including those who don't vote for me.""
Harris' running mate Gov. Tim Walz — who had been booked on two prominent television morning shows to talk about her closing argument speech — instead faced questions about Biden's remark.
Vice President Harris: I strongly disagree with any criticism of people based on who they vote for. You heard my speech last night. I believe the work that I do is about representing all the people, whether they support me or not. I will be a President for all Americans pic.twitter.com/zVk3oEcpBG
— Kamala HQ (@KamalaHQ) October 30, 2024
Biden's comment has given Republicans an opening to move past the controversy unleashed by a disparaging and politically toxic joke about Puerto Rico made by a comedian on Sunday at a Madison Square Garden rally for Trump.
That joke has roiled the presidential campaign in its waning days as Puerto Ricans are a significant presence in places like Pennsylvania, which both the Trump and Harris campaigns see as a must-win state.
What Biden said
In a video call Tuesday with Voto Latino, Biden sounded like he was calling Trump supporters “garbage.”
Biden tonight in condemning the joke about Puerto Rico.
— Alex Thompson (@AlexThomp) October 30, 2024
“The only garbage I see floating out there is his [supporters/supporter’s]–his demonization of Latinos is unconscionable, and it’s un-American.”
The WH says Biden was talking about the comedian—“supporter’s”
The clip: pic.twitter.com/F7VRcyBFJu
The White House quickly issued a transcript seeking to put Biden’s comment in a broader context, insisting that Biden had said ""supporter's,"" to refer to the comedian's quote and not ""supporters.""
""And just the other day, a speaker at his rally called Puerto Rico a 'floating island of garbage.' Well, let me tell you something. I don't -- I -- I don't know the Puerto Rican that -- that I know -- or a Puerto Rico, where I'm fr- -- in my home state of Delaware, they're good, decent, honorable people. The only garbage I see floating out there is his supporter's -- his -- his demonization of Latinos is unconscionable, and it's un-American.""
Later, Biden attempted to clean up his remarks on x.com, saying that he was referring to the comedian’s joke at the rally.
Earlier today I referred to the hateful rhetoric about Puerto Rico spewed by Trump's supporter at his Madison Square Garden rally as garbage—which is the only word I can think of to describe it. His demonization of Latinos is unconscionable. That's all I meant to say. The…
— Joe Biden (@JoeBiden) October 30, 2024
How Republicans are responding
Biden, who has a life-long history of gaffes, has kept a low profile since he dropped out of the race and endorsed Harris.
Last week at a rare campaign event, he attracted attention when he said of Trump “we got to lock him up,” before quickly adding “politically.”
Conservatives have long complained that Democrats have used disparaging labels to describe their supporters. They point to then-candidate Barack Obama's remarks about ""bitter"" working-class voters who ""cling to guns or religion"" and former Democratic nominee Hillary Clinton who described Trump's supporters as ""deplorables.""
Biden's remark landed as Trump was onstage at a rally in Allentown, Pa., where Sen. Marco Rubio, R-Fla, went on stage to demand an apology from Biden.
“We are not garbage: we are patriots who love America,” Rubio said.
The Trump campaign said it was an example of name-calling by the Harris campaign.
""President Trump is backed by Latinos, Black voters, union workers, angel moms, law enforcement officers, border patrol agents, and Americans of all faiths — and Harris, Walz, and Biden have labeled these great Americans as fascists, Nazis, and now, garbage,"" Karoline Leavitt, Trump's campaign spokesperson said in a statement.",2024-10-30
NPR,Donald Trump's closing argument: leaning into the extreme rhetoric : Consider This from NPR,"Donald Trump's closing argument: leaning into the extreme rhetoric
On Sunday afternoon, to kick off the last full week of the 2024 presidential campaign, thousands of people lined up under a screen several stories high with the image of former President Donald Trump.
They were waiting outside New York's Madison Square Garden where Trump was holding a campaign rally.
It was a homecoming of sorts for the man who has portrayed himself as the quintessential New Yorker.
The headliner took the stage two hours after he was scheduled to, and before that...more than two dozen others spoke.
Many leaned into racist, misogynistic and vulgar rhetoric, like comedian Tony Hinchcliffe, who now famously referred to Puerto Rico as a ""floating pile of garbage""
There was intense backlash, and a Trump campaign advisor later put out a statement distancing the former President from Hinchcliff's remarks.
But Hinchcliffe wasn't the only speaker who used incendiary language during the rally Sunday night.
You're reading the Consider This newsletter, which unpacks one major news story each day. Subscribe here to get it delivered to your inbox, and listen to more from the Consider This podcast.
More key voices at the event
Trump's childhood friend David Rem referred to Vice President Kamala Harris as the devil, calling her the ""antichrist.""
And Stephen Miller, a policy advisor in the Trump White House and current senior campaign advisor underscored the former President's anti-immigrant message, saying ""America is for Americans and Americans only.""
Other speakers included Elon Musk, Hulk Hogan, New York Congresswoman Elise Stefanik and Phil McGraw – better known as Dr. Phil.
Finally, more than four hours into the program, Trump took the stage and spoke for another 78 minutes – repeating many of the themes his warm up acts had touched on, promising some of the following:
- Launching the ""largest deportation program in American history to get these criminals
out"" - Getting critical race theory and ""transgender insanity the hell out of our schools""
Trump referred to his opponent as a ""train wreck,"" and promised the following: ""This election is a choice between whether we will have four more years of gross incompetence and failure or whether we will begin the four greatest years in the history of our country.""
Closing up his campaign.
The rhetoric from this rally has generated plenty of conversation online for the fate of Trump's campaign. How was it received?
NPR political correspondent Danielle Kurtzleben says the fallout following the Puerto Rico comment was immediate, starting before the rally was even over.
""You had New York Democratic Representative Alexandria Ocasio-Cortez and vice presidential nominee Tim Walz, who were doing an online event for the Harris campaign already. They played that clip and reacted with disgust as they heard it. Not only that, but pretty immediately, the Harris campaign itself quickly retweeted a clip""
Republican politicians, including Florida Sen. Rick Scott and Congressman Carlos Gimenez, also criticized that joke.
""And the Trump campaign got the message in a statement late last night. The campaign's senior adviser, Danielle Alvarez, said, 'This joke does not reflect the views of President Trump or the campaign,'"" added Kurtlzeben.
So, does she expect the campaign to be affected by this?
""What's been remarkable in this absolutely wild election year is that almost nothing has shifted the polls, aside from the Democrats swapping candidates. Besides that, it's been remarkably stable: assassination attempts, Trump saying immigrants are vermin poisoning the blood of the nation...Nothing seems to budge.""
And while it is unusual for the Trump campaign to backtrack on just about anything, it might be too close to say if it could impact the final result of the election.
This episode was produced by Brianna Scott. It was edited by Courtney Dorning and Megan Pratz. Our executive producer is Sami Yenigun.",2024-10-28
NPR,"In outreach to Black men, Harris to vow to legalize weed, protect crypto","In outreach to Black men, Harris to vow to legalize weed, protect crypto
Vice President Kamala Harris is pledging Monday to legalize recreational marijuana, protect cryptocurrency assets and give 1 million loans to Black entrepreneurs, as part of her efforts to court Black voters who may be pivotal in the presidential race.
Polls show that some Black men may be gravitating toward former President Trump, Harris’ Republican rival, or not vote at all. Harris and other prominent Democrats are trying to counter that.
Among the initiatives being announced by Harris Monday:
- Legalizing recreational marijuana and providing opportunities for Black Americans to succeed in the industry
- 1 million fully forgivable loans of up to $20,000 for Black entrepreneurs and others to start businesses
- a plan come up with rules for cryptocurrency and other digital assets; more than 20% of Black Americans own or have owned cryptocurrency assets, according to the campaign
- invest more in Black male teachers, promote registered apprenticeships and credentialing opportunities in Black communities and investing in leadership training and mentorship programs like My Brother’s Keeper
- a National Health Equity Initiative focused on Black Men that addresses sickle cell disease, diabetes, mental health, prostate cancer, and other health challenges that disproportionately affect them
Harris will talk about the plan on Monday in Erie, Pa.
Former Rep. Cedric Richmond, a co-chair of the Harris' campaign, said her new announcement is part of her ""Opportunity Economy"" pledge — “an economy where people don't just get by, but get ahead. Where Black men are equipped with the tools to thrive: to buy a home, provide for our families, start a business and build wealth,” he said in a statement.
On Monday, Harris will meet with a group of Black men in Erie, Pa., before holding a rally in the city. And on Tuesday, she plans to meet with Black entrepreneurs in Detroit after a town hall conversation moderated by Charlamagne tha God, the influential Black radio host who has pulled very few punches with Democratic politicians.
She spent the weekend campaigning in North Carolina, attending a Black church in Greenville, N.C., before holding a rally in the community in a part of the state where Democrats are hoping to boost turnout among Black voters.
Obama weighed in last week
Softening of support among Black men could hurt Harris in what is shaping up to be a tight election. Most polls show her and Trump in a dead heat. Last week, former President Barack Obama, the first Black president, said he wanted to ""speak some truths"" about why turnout and enthusiasm for Harris was far behind what he experienced in 2008.
“Part of it makes me think that, well, you just aren't feeling the idea of having a woman as president, and you're coming up with other alternatives and other reasons for that,” Obama said.
In response, the Black Men for Trump Advisory Board issued a statement, calling Obama’s remarks “deeply insulting.”
“Black Americans are not a monolith, and we don’t owe our votes to any candidate just because they ‘look like us,’” they said in a statement. “It’s demeaning to suggest that we can’t evaluate a candidate’s track record — especially when Kamala Harris has done more harm than good to Black communities.”
As part of its outreach, the Harris campaign will specifically target Black men in the closing days of the election, her campaign said, with events including partnerships with influential Black males, and talks with Black business owners.
NPR's Elena Moore contributed to this report.",2024-10-13
NPR,These states will decide the election. We visited all of them to talk to voters,"These states will decide the election. We visited all of them to talk to voters
Just a handful of states will decide the 2024 presidential election.
NPR’s Morning Edition and All Things Considered visited seven of them to speak to voters and explore the issues that matter most to them — and gauge how these states are likely to swing in 2024.
» Listen on Morning Edition // Find your local station «
» Listen on All Things Considered // Find your local station «",2024-09-16
NPR,Republican lawsuits over overseas and military voting hit setbacks in 3 swing states,"Republican lawsuits over overseas and military voting hit setbacks in 3 swing states
Three Republican legal challenges to the legitimacy of ballots cast by U.S. citizens living abroad, including U.S. military members, have hit setbacks this month.
On Tuesday, a federal judge tossed one of three lawsuits that GOP groups filed in swing states in recent weeks. That case was brought by six Republican members of the U.S. House of Representatives from Pennsylvania.
A Michigan state judge dismissed a similar case last week, when a North Carolina judge also rejected the Republican National Committee’s request for the court to order that returned ballots of some overseas voters be set aside and not counted until the voters’ eligibility can be confirmed.
The North Carolina Court of Appeals on Tuesday denied the RNC’s request to block the lower state court’s ruling, and the Democratic National Committee has filed a request for the judge to dismiss the case. The RNC is also in the process of appealing the decision by the Michigan judge, spokesperson Claire Zunk said last week in a statement.
In the Michigan case, Judge Sima Patel of the state’s Court of Claims issued an opinion that underscored the fact that the RNC brought its case weeks before the last day of voting in this fall’s election. Patel called the lawsuit an “11th hour attempt to disenfranchise these electors in the November 5, 2024 general election.”
For years, Michigan has allowed eligible uniformed service members and other citizens living outside the U.S. to vote in federal elections, as required by a federal law known as the Uniformed and Overseas Citizens Absentee Voting Act. Guidance issued by Michigan’s secretary of state says: “A United States citizen who has never resided in the United States but who has a parent, legal guardian, or spouse who was last domiciled in Michigan is eligible to vote in Michigan as long as the citizen has not registered or voted in another state.”
But in court, the Republican National Committee argued against the eligibility of that category of overseas voters, who, the RNC contended, do not meet requirements under Michigan’s constitution for voters to be state residents.
Patel, however, concluded that the guidance language in the secretary of state’s manual for election officials is “consistent with federal and state law, and the Michigan Constitution.”
In the North Carolina case, the RNC made a similar argument against state election rules that allow absentee voting by citizens who were born outside the U.S. and whose parent or legal guardian’s former residence is in the state.
But with “absolutely no evidence that any person has ever fraudulently claimed that exemption and actually voted in any North Carolina election,” Superior Court Judge John Smith wrote in a ruling released on Oct. 21, the court found there is no need for an emergency court order to block that category of overseas voters from casting ballots and to segregate and not process any of their returned ballots.
Smith noted that the election rule the RNC is challenging “has been on the books at least since 2011 as a bill adopted with bi-partisan support,” adding that both sides of this lawsuit “have been involved in elections under the existing statute since its passage without complaint.”
A ruling in a similar federal lawsuit brought by six Republican members of the U.S. House of Representatives from Pennsylvania is expected soon.
Many legal experts say these cases are also not likely to go anywhere in part because they were filed after officials started sending out ballots to overseas voters.
But these experts are concerned the cases are laying groundwork for questioning election results.
Edited by Benjamin Swasey",2024-10-21
NPR,"At the site of Trump’s Jan. 6 rally, Harris makes her closing pitch for the campaign","At the site of Trump’s Jan. 6 rally, Harris makes her closing pitch for the campaign
A week before Election Day, Vice President Harris used the spot where her opponent held his Jan. 6, 2021 rally to give a sweeping speech laying out her priorities and excoriating her opponent for his character and past actions.
Delivering the closing argument of her campaign, with the White House illuminated in the background, Harris said it’s time to move on from the divisive and chaotic era of her opponent, former President Donald Trump.
""America: this is not a candidate for president who is thinking about how to make your life better. This is someone who is unstable, obsessed with revenge, consumed with grievance and out for unchecked power,"" Harris said.
The event was far from any swing state. But it was aimed at creating the kind of big moment that could break through to what campaign operatives call ""low propensity"" voters who aren't usually all that interested in politics — and to convince them to cast a ballot.
More than 40,000 people went through security for the event, Harris' campaign said, with many more outside the perimeter.
Harris highlighted Trump's 'enemies list'
On Jan. 6, 2021, Trump held a rally on the Ellipse, with the White House in the background, telling his supporters to “fight like hell” on the day Congress was meeting to certify that President Biden had won the election.
""Look, we know who Donald Trump is,"" Harris said. ""He is the person who stood at this very spot nearly four years ago and sent an armed mob to the United States Capitol to overturn the will of the people in a free and fair election — an election that he knew he lost.""
In contrast, Harris pledged she would ""seek common ground"" and listen ""to people who disagree with me.""
Responding to Harris' address, Trump's campaign said she was ""lying"" and ""name-calling"" and said she should have done more to address the cost of living and border security as vice president.
""As for President Trump, his closing argument to the American people is simple: Kamala broke it; he will fix it,"" his campaign press secretary Karoline Leavitt said in a statement.
Some Democrats have worried Harris’ warnings about Trump are not enough to get across the finish line in a very tight race where voters rank economic concerns as their top priority.
Harris acknowledged voters are still getting to know her
Harris sought to use the speech to recap her promises and values, saying she recognized that ""this has not been a typical campaign"" — a nod to the fact that President Biden sitting in the White House behind her had stepped down this summer from his bid for a second term after a catastrophic debate against Trump.
""I know that many of you are still getting to know who I am,"" she said, describing her middle-class upbringing and career as a prosecutor.
""There's something about people being treated unfairly or overlooked that, frankly, just gets to me. I don't like it,"" she said.
Harris touched on two hot-button issues of the campaign in her remarks — abortion rights and border security.
She sought to separate her policies from those of Biden, saying she would bring her own ideas to the job, and would focus on lowering costs for groceries, prescription drugs, homes, child care and elder care.
""Donald Trump's answer to you is the same as it was the last time: another trillion dollars in tax cuts for billionaires and big corporations, and this time, he will pay for it with a 20% national sales tax on everything you buy that is imported,"" she said, describing Trump's pledge to hike tariffs.
NPR's Asma Khalid contributed to this story.",2024-10-28
