source,title,content,date
News Max,"Walz, Vance Go After Each Other's Running Mates","Tim Walz and J.D. Vance on Tuesday went after each other's running mates in a vice presidential debate that opened with a discussion of burgeoning domestic and international troubles — a hurricane that ravaged much of the southeast U.S. and growing fears of a regional Middle East war.
Both Walz, the Democratic governor of Minnesota, and Vance, a Republican senator from Ohio, focused many of their attacks at the top of the ticket, as is traditional for VP debates. They each pointed to the crises of the day as reasons for voters to choose Vice President Kamala Harris or former President Donald Trump.
Walz, answering a question on whether he'd support a preemptive strike on Iran after it launched missiles at Israel, painted Trump as too dangerous for the country and the world in an unstable moment.
“What’s fundamental here is that steady leadership is going to matter,” said Walz, the Democratic governor of Minnesota. ""And the world saw it on that debate stage a few weeks ago, a nearly 80-year-old Donald Trump talking about crowd sizes is not what we need in this moment.”
Vance, in his reply, argued that Trump is an intimidating figure whose presence on the international stage is its own deterrent.
“Donald Trump actually delivered stability,"" he said.
The debate in New York hosted by CBS News opened with a sober tone that reflected growing domestic and international concerns about safety and security. But it gave way to sharper attacks from both Walz and Vance — and a moment in which the moderators stopped the discussion by cutting the two men's mics.
Walz accused Vance and Trump of villainizing legal immigrants in Vance’s home state. He pointed to the fact that Republican Ohio Gov. Mike DeWine had to send in extra law enforcement to provide security to the city’s schools after Vance tweeted about and Trump amplified persistent claims about Haitians eating pets.
“This is what happens when you don’t want to solve it, you demonize it,” Walz said, saying not doing so would allow people to “come together.”
Vance said the 15,000 Haitians in the city had caused housing, economic and other issues that the Biden-Harris administration was ignoring.
When the debate moderators pointed out that the Haitians living there had legal status, Vance protested that CBS News had said its moderators would not be fact-checking, leaving the onus to the candidates. As Vance continued and the moderators tried to move on, his microphone was cut and neither man could be heard.
Both men found unity on Hurricane Helene, which has devastated several states and caused massive flooding in North Carolina in particular. Walz mentioned the storm’s devastation and talked about working with governors across the country, saying they don’t let politics get in the way of collaborating.
The question about Hurricane Helene led to a moment of political comity as Vance said, “I’m sure Gov. Walz joins me in saying our hearts go out to those innocent people.”
The two Midwesterners struck a noticeably friendlier tone than matchup between Trump and Harris — or, earlier this year, Trump and President Joe Biden before he dropped out of the race.
When they first turned to immigration and the influx of migrants coming over the U.S.-Mexico border, one of the most heated topics of the campaign, the two men credited each other with having good intentions.
“I believe Senator Vance wants to solve this, but by standing with Donald Trump and not working together to find a solution, it becomes a talking point and when it becomes a talking point like this, we dehumanize and villainize other human beings,” Walz said.
Vance echoed the sentiment, saying, “I think you want to solve this problem, but I don’t think that Kamala Harris does.”
Polls have shown Harris and Trump locked in a close contest, giving added weight to anything that can sway voters on the margins, including the impression left by the vice presidential candidates. It also might be the last debate of the campaign, with the Harris and Trump teams failing to agree on another meeting.
The role of a presidential running mate is typically to serve as an attack dog for the person at the top of the ticket, arguing against the opposing presidential candidate and their proxy on stage. Both Vance and Walz have embraced that role.
Early Tuesday night, Vance was giving a largely measured performance instead of assuming his combative persona from the campaign trail or in media interviews.
Walz, meanwhile, did not deploy the arsenal of folksy zingers that excited Democrats when he was named as Harris’ running mate.
Vance's occasionally confrontational interviews and appearances have underscored why Trump picked him for the Republican ticket despite his past biting criticisms of the former president, including once suggesting Trump would be “America’s Hitler.”
“When you get something wrong and you change your mind, you ought to be honest with the American people,” he said Tuesday.
Walz had catapulted onto Harris’ campaign by branding Trump and Republicans as “ just weird,” creating an attack line for Democrats seeking to argue Republicans are disconnected from the American people.
He was pressed Tuesday on his claim, which was investigated this week by Minnesota Public Radio and other outlets, that he was in Hong Kong during the turbulence surrounding the 1989 Tiananmen Square massacre, part of a broader pattern of inaccuracies that Republicans hope to exploit.
Confronted with his misstatements about his travels to China years ago, Walz defended himself by saying, “I’ve not been perfect.” In fact, he said, “I’m a knucklehead at times.” Eventually, he acknowledged he misspoke about his history.
A new AP-NORC poll found that Walz is better liked than Vance, potentially giving the Republican an added challenge.
Trump, on Tuesday evening, said his advice to Vance was to “have a lot of fun” and praised his running mate as a “smart guy” and “a real warrior.”
Copyright 2024 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed without permission.",1/10/2024
News Max,Decision Desk/The Hill: Trump Leads for First Time,"Former President Donald Trump moved ahead of Vice President Kamala Harris for the first time in the Decision Desk HQ/The Hill presidential election forecast.
The presidential election model showed Trump with a 52% chance of winning the election, while Harris has a 48% chance, The Hill reported Sunday.
It marked the first time the Republican presidential nominee has been the favorite over Democrat Harris in this election cycle.
The forecast also gave Republicans the advantage to win majorities in both houses of Congress, with a 71% chance of winning control of the Senate and a 54% chance of retaining control of the House.
Trump's edge coincided with his improved polling averages in battleground states Wisconsin and Michigan. He already held slim swing-state advantages in Arizona, Georgia, and North Carolina.
Pennsylvania remained the lone battleground state favoring Harris, The Hill reported.
The polling showed that the races in all seven key swing states remained within the margins of error.
From late August to September, the Decision Desk HQ/The Hill forecast gave Harris a 54%-56% chance of winning. In early October, the forecast predicted that Trump and Harris each had a close to 50% chance.
Trump took the advantage Oct. 20.
The latest Decision Desk HQ/The Hill election forecast favored the GOP to flip two (Montana and West Virginia) Democrat U.S. Senate seats and one Democrat-held seat (Ohio) as a toss-up.
The forecast showed 16 seats as toss-ups, split evenly between the two parties when given a ""slightly favoring"" description; 12 seats are rated as ""lean,"" with seven leaning Republican and seven leaning Democrat.
On Monday, TIPP survey results showed Trump holding a 1-point lead (48% to 47%) over Harris in the race for the White House just 15 days before Election Day.
TIPP's poll results said Trump holds a 48% plurality among independents and has made inroads with Black voters.
Charlie McCarthy ✉
Charlie McCarthy, a writer/editor at Newsmax, has nearly 40 years of experience covering news, sports, and politics.
© 2024 Newsmax. All rights reserved.",21/10/2024
News Max,Fla. Poll: Trump Up 10 in Former Swing State,"A new poll out of the University of North Florida's Public Opinion Research Lab shows that former President Donald Trump is ten points ahead of Vice President Kamala Harris in the Sunshine State.
The survey of 977 likely Florida voters said Trump was leading Harris, with 53% of respondents indicating they would vote for the former president if the election were held today as opposed to the vice president, who garnered 43% support. Meanwhile, 2% of respondents said they would vote for another candidate, and 2% remain undecided.
""Hurricane Milton making landfall smack dab in the middle of our field period for this poll proved a big challenge, so we made some methodological choices to increase our coverage and ensure a representative sample,"" UNF political science professor Dr. Michael Binder said.
""Prior research tells us that the folks who blurt out their candidate vote choice and then hang up are very likely to vote, and most of those 'blurters' are Trump supporters. This might help explain why his lead widened to 10 points, up from 7 in our last poll back in July.""
The survey was conducted from Oct. 7 through Oct. 18, with a margin of error of ± 3.49 percentage points.
Nick Koutsobinas ✉
Nick Koutsobinas, a Newsmax writer, has years of news reporting experience. A graduate from Missouri State University’s philosophy program, he focuses on exposing corruption and censorship.
© 2024 Newsmax. All rights reserved.",21/10/2024
News Max,Biden: 'I Don't Believe There Is Going to Be an All-Out War',"President Joe Biden said on Thursday he did not believe there is going to be an ""all-out war"" in the Middle East, a region that has been on edge amid Israel's assaults in Gaza and Lebanon and escalation of the U.S. ally's tensions with Iran.
The president said that such a war can be avoided but more needed to be done to ensure that.
Asked how confident he was that such a war can be averted, he paused and told reporters: ""How confident are you it's not going to rain? Look, I don't believe there is going to be an all-out war. I think we can avoid it.""
He added: ""But there is a lot to do yet, a lot to do yet.""
When asked if he would send American troops to help Israel, he responded: ""We have already helped Israel. We are going to protect Israel.""
Tensions between Iran and Israel have been high as Israel has been weighing options to respond to Tehran's ballistic missile attack on Tuesday, which Iran had carried out in response to Israel's military action in Lebanon.
The latest bloodshed in the decades-old Israeli-Palestinian conflict was triggered by Palestinian Hamas militants' Oct. 7 attack that killed 1,200, with about 250 taken as hostages, according to Israeli tallies. Israel's subsequent assault on Hamas-governed Gaza has killed over 41,000 Palestinians, according to Gaza health ministry, and displaced nearly Gaza's entire population, caused a hunger crisis and led to genocide allegations that Israel denies.
Israel's recent military action in Lebanon has killed hundreds, wounded thousands and displaced a million. Israel says it is targeting Lebanese Iran-backed Hezbollah militants.
© 2024 Thomson/Reuters. All rights reserved.",3/10/2024
News Max,"Police: Fires at Ballot Sites in Ore., Wash. Connected; 'Suspect Vehicle' ID'd","Police said Monday that a “suspect vehicle” has been identified in connection with incendiary devices that set fires to ballot drop boxes in Oregon and Washington state.
Surveillance images captured a Volvo stopping at a drop box in Portland, Oregon, just before security personnel nearby discovered a fire inside the box on Monday, Portland Police Bureau spokesman Mike Benner told a news conference.
That fire damaged three ballots inside, while officials say a fire at a drop box in nearby Vancouver, Washington, early Monday destroyed hundreds of ballots. The devices were attached to the outside of the boxes, police said.
Authorities said at a news conference in Portland that enough material from the incendiary devices was recovered to show that the two fires Monday were connected — and that they were also connected to an Oct. 8 incident, when an incendiary device was placed at a different ballot drop box in Vancouver.
“Heartbreaking,” said Greg Kimsey, the longtime elected auditor in Clark County, Washington, which includes Vancouver. “It’s a direct attack on democracy.”
The ballot drop boxes in Washington and Oregon both have fire suppression systems that are designed to activate when the temperature inside reaches a certain point, coating ballots inside with a fire-suppressing powder. The system appeared to have worked in the Portland drop box, and security staffers were nearby to help put out the fire.
But for unknown reasons, the system failed to prevent the destruction of hundreds of ballots in Vancouver, just across the Columbia River from Portland.
Vancouver is the biggest city in Washington’s 3rd Congressional District, the site of what is expected to be one of the closest U.S. House races in the country, between first-term Democratic Rep. Marie Gluesenkamp Perez and Republican challenger Joe Kent.
“I hope the perpetrator of this reprehensible act is quickly apprehended — and local and federal law enforcement have my full support in working to keep our democratic process safe and secure,” Gluesenkamp Perez said in a statement.
She said she’s requesting an overnight law enforcement presence posted at all ballot drop boxes in Clark County through Election Day.
“Southwest Washington cannot risk a single vote being lost to arson and political violence,” her statement said.
Representatives for Kent’s campaign didn’t immediately return phone and email messages seeking comment.
The Portland Police Bureau said the fire there was reported at about 3:30 a.m. Multnomah County Elections Director Tim Scott said thanks to the suppressant system, only three ballots there were damaged, and his office planned to contact those voters to help them obtain replacement ballots.
A few hours later, television crews in Vancouver captured footage of smoke pouring out of a ballot box at a transit center.
There were surveillance cameras that covered the drop box and surrounding area, Kimsey said.
The last ballot pickup at the transit center drop box was at 11 a.m. Saturday, Kimsey said. Anyone who dropped their ballot there after that was urged to contact the auditor’s office to obtain a new one.
The office will be increasing how frequently it collects ballots, Kimsey said, and changing collection times to the evening, to keep the ballot boxes from remaining full of ballots overnight when similar crimes are considered more likely to occur.
An incendiary device was also found on or near a ballot drop box in downtown Vancouver early on Oct. 8. It did not damage the box or destroy any ballots, police said.
In a statement, the FBI said it is coordinating with federal, state and local partners to actively investigate the two incidents. Anyone with information is asked to contact the nearest FBI office, provide information through tips.fbi.gov or call 1-800-CALL-FBI ( 800-225-5324 ).
Washington Secretary of State Steve Hobbs said the state would not tolerate threats or acts of violence meant to derail voting.
“I strongly denounce any acts of terror that aim to disrupt lawful and fair elections in Washington state,” he said.
Voters were encouraged to check their ballot status online at www.votewa.gov to track its return status. If a returned ballot is not marked as “received,” voters can print a replacement ballot or visit their local elections department for a replacement, the Secretary of State’s office said.
Washington and Oregon are both vote-by-mail states. Registered voters receive their ballots in the mail a few weeks before elections and then return them by mail or by placing them in ballot drop boxes.
In Phoenix last week, officials said roughly five ballots were destroyed and others damaged when a fire was set in a drop box at a U.S. Postal Service station there.
___
Christina A. Cassidy in Atlanta and Jennifer Sinco Kelleher in Honolulu contributed. Johnson reported from Seattle.
Copyright 2024 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed without permission.",28/10/2024
News Max,Mark Cuban: Trump Is Grinch Trying to Steal Christmas,"Donald Trump is the “Grinch that’s trying to steal your Christmas,” according to entrepreneur Mark Cuban.
“This time next year, we're going to be thinking about Christmas presents for all of our kids, and if he puts a 60% tariff on everything from China, those prices are going up,” Cuban told Vice President Kamala Harris in a conversation uploaded to YouTube on Wednesday.
""And now all of a sudden, your vision of everything you wanted to have for your kids at Christmas is gone. Donald Trump just crushed it,"" added Cuban, a Harris supporter.
Trump has vowed to implement massive tariffs should he get reelected, including a 10% or 20% tax on all imported goods and a 60% tariff on Chinese imports.
He said he would also impose additional tariffs on China if China were to ""go into Taiwan,"" The Wall Street Journal reported.
""I would say: If you go into Taiwan, I'm sorry to do this, I'm going to tax you, at 150% to 200%,"" the former U.S. president was quoted as saying in an interview with the Journal published on Friday evening.
During his term as president from early 2017 to early 2021, Trump's aggressive approach toward China was underscored by waves of tariffs that plunged the two countries into a trade war that moved markets worldwide.
Information from Reuters was used in this report.
Solange Reyner ✉
Solange Reyner is a writer and editor for Newsmax. She has more than 15 years in the journalism industry reporting and covering news, sports and politics.
© 2024 Newsmax. All rights reserved.",25/10/2024
News Max,Trump Pokes Fun at NYC Legal Woes at Al Smith Dinner,"Former President Donald Trump, speaking at the Al Smith charity dinner in New York City on Thursday night, said it was nice to come to the Big Apple without having to appear in court.
""It's really a pleasure anywhere in New York without a subpoena for my appearance,"" Trump said to laughter at the New York Hilton Midtown in an event that benefits Catholic charities. ""Anytime I don't get a subpoena, I'm very happy.""
The dinner, which in a presidential election year traditionally features both major party candidates for some good-natured ribbing and roasting – Democrat Vice President Kamala Harris declined to attend Thursday night – is named after the first major-party Roman Catholic presidential nominee, four-term Democrat New York Gov. Al Smith, who lost to Republican Herbert Hoover in the 1928 election.
Trump's speech was simulcast on Newsmax.
Playing on the legal theme, Trump joked with Democrat New York Mayor Eric Adams, who is facing federal charges alleging he secured bribes from foreign nationals and illegal campaign contributions in exchange for political favors.
""Mayor Adams, good luck with everything,"" Trump said while looking at Adams on the huge dais. ""They went after you. They went after you, mayor. Yeah, boy, I knew that nine-and-a-half months ago. I said, you know, he just said something [bad] about the [Biden-Harris] administration. He's going to be indicted. Any moment.
""And guess what happened? But you're going to win. I think you're going to win. I know you're going to win. So good luck. Good luck. I don't like what they do. I don't like what they do.""
In 2020, Trump and Joe Biden appeared at the event virtually because of the COVID-19 pandemic, and in 2016, Trump and Hillary Clinton spoke. Trump noted that Harris was the first Democrat presidential candidate to skip since Walter Mondale in 1984.""
""The last Democrat not to attend this important event was Walter Mondale, and it did not go very well for him,"" Trump said. ""He lost 49 states, and he won one: Minnesota. So, I said, there's no way I'm missing it. .. But that's true, Walter Mondale, 49 to 1. He was expected to do well, and it didn't work out. It shows you there is a God. I mean, for those people that are questioning it.""
About NEWSMAX TV:
NEWSMAX is the fastest-growing cable news channel in America!
- Find Newsmax channel in your home via cable and satellite systems – More Info Here
- Watch Newsmax+ on your home TV app or smartphone and watch it anywhere! Try it for FREE – See More Here: NewsmaxPlus.com
Michael Katz ✉
Michael Katz is a Newsmax reporter with more than 30 years of experience reporting and editing on news, culture, and politics.
© 2024 Newsmax. All rights reserved.",17/10/2024
News Max,Woodward Book: Biden Like a 'Senile Grandfather',"A new book by Watergate journalist Bob Woodward features eyewitness accounts that claim President Joe Biden looked ""frighteningly awful"" and like a ""senile grandfather"" at fundraising events more than a year before he ended his bid for reelection.
According to the New York Post, Woodward's book, ""War,"" quoted Liberties Journal President Bill Reichblum, who claimed Biden ""never completed a sentence"" at a fundraiser held in June 2023 at the home of philanthropists Michael and Susie Gelman.
""He would start to talk about something, jump somewhere else. He told the same story three times in exactly the same way and it meandered so much,"" Reichblum was quoted as saying in the book. ""Frankly, my impression was there were times it was as though we didn't exist. He was just rambling and talking as to what came into his head.""
Biden dropped out of the race days after the Republican National Convention and one week after the first assassination attempt on Donald Trump. Those followed Biden's widely panned debate performance against Trump in late June.
Many of the president's allies had defended his cognitive fitness before the debate and disputed claims he was mentally unfit to run for office. In the book, Woodward describes how several top Biden aides did not admit the full extent of his struggles until after it became apparent on the debate stage.
The book also revealed some Democrats observed peculiarities regarding Biden's behavior long before Democrat leaders called on him to withdraw from the race.
One party donor at a Silicon Valley fundraiser hosted by Microsoft CTO Kevin Scott in June 2023 was quoted in ""War"" as saying the president ""could not wait to sit down and only took two pre-arranged questions.""
Other witnesses at the same event claimed in the book Biden seemed to have difficulty giving his speech, despite having notecards to help him.
""It was 'like your 87-year-old senile grandfather,' wandering around the room, saying to women guests, 'Your eyes are so beautiful,'"" Woodward wrote, quoting one anonymous guest.
However, at a second event on the same day, Woodward quoted venture capitalist Steve Westly as saying Biden was ""energetic"" and ""wouldn't sit down for two hours.""
According to the book, attendees at a Biden campaign fundraiser at the Four Seasons Hotel in New York City also observed the president's declining state.
The attendees claimed Biden could not recall the word ""veteran"" and asked members of the audience what word was used to describe a person who ""served in the military.""
At one point during the event, an anonymous Hollywood executive reportedly confronted Biden, telling him he was ""f*cking up your campaign.""
""Every time you get out and walk, people think 'old,'"" the executive said.
Nicole Wells ✉
Nicole Wells, a Newsmax general assignment reporter covers news, politics, and culture. She is a National Newspaper Association award-winning journalist.
© 2024 Newsmax. All rights reserved.",24/10/2024
News Max,Danielle Alvarez to Newsmax: Trump 'Leader for Working Americans',"Danielle Alvarez, a senior adviser to the 2024 Trump campaign, told Newsmax on Monday that the GOP presidential nominee's weekend shift at a McDonald's in Pennsylvania shows that he is the ""leader for working Americans.""
""President Donald Trump has now spent more time working at a McDonald's than [Vice President] Kamala Harris has, but that's no surprise, given that all that she can do is lie when she opens her mouth,"" Alvarez told ""Wake Up America.""
""It was such an incredible experience,"" she said. ""President Donald Trump is the leader for working Americans and we saw that yesterday, displayed as he worked the fry cooker at McDonald's.
""We saw thousands and thousands of patriots outside in Pennsylvania just trying to get a glimpse of him. That's the movement, that's the momentum that President Trump has as we head into the final days of this election, because people know that he can restore our economy, that he can fight for the working class, that he can bring down inflation, that he can do all the things that this administration, the Harris-Biden administration, has failed to do.""
Even though RealClearPolitics shows Trump ahead in every battleground state for the first time Monday morning, Alvarez said the campaign ""is not taking anything for granted.""
""When Kamala Harris joined the race, there was manufactured enthusiasm because she wasn't Joe Biden and she wasn't brain dead, but come to find out that none of her policies work for the American people,"" Alvarez said. ""She is responsible for the last four years of failure and weakness in this country — that record high inflation, the poor economy, chaos at home, abroad and open border fentanyl pouring in.
""All of those key issues that voters care about. And that is why you see President Trump surging, because he has always campaigned on those issues that matter most to voters, that matter most to the American people.""
According to Alvarez, Trump ""is the only one who can solve the problems of the last four years created by Kamala Harris and by [President] Joe Biden.""
""You're seeing that is our final message, while they no longer have joy, they no longer have vibes because they are about to be fired,"" she said. ""They are about to be evicted from the White House and we will again restore this great country and President Donald Trump will be successful in November.""
As for Trump's upcoming rally at Madison Square Garden, Alvarez said it was ""the president's idea"" and ""it's going to be huge.""
""It's been something that he has been wanting to do for months, at least, and it's going to be incredible,"" she said. ""New York is so symbolic because it's who he was as a businessman, as a successful businessman, before he brought that success to the White House and served the American people.""
About NEWSMAX TV:
NEWSMAX is the fastest-growing cable news channel in America!
- Find Newsmax channel in your home via cable and satellite systems – More Info Here
- Watch Newsmax+ on your home TV app or smartphone and watch it anywhere! Try it for FREE -- See More Here: NewsmaxPlus.com
Nicole Wells ✉
Nicole Wells, a Newsmax general assignment reporter covers news, politics, and culture. She is a National Newspaper Association award-winning journalist.
© 2024 Newsmax. All rights reserved.",21/10/2024
News Max,"Trump: Harris Incompetent, Unfit, Unqualified","Vice President Kamala Harris is so incompetent and unfit that she is not qualified to be president, said former President Donald Trump.
""We want to bring back the American dream. We're going to do it,"" Trump said during a rally at Pennsylvania State University Saturday, carried live by Newsmax2.
""As we restore our economy, we will also restore our borders. Over the last four years, Kamala Harris has orchestrated the most egregious betrayal than any leader in American history has ever inflicted on our people,"" he added.
""She has eradicated our sovereign border, and she has unleashed an army of migrant gangs who are waging a campaign of violence and terror against our citizens all over our country. Kamala has imported an invasion of criminal migrants from prisons and jails, insane asylums, and mental institutions from all around the world, from Venezuela to the Congo in Africa.
""They're letting in tremendous numbers. They're letting out all their prisoners from the prisons in the Congo, and they're coming into the United States. And they're forcing them into our country, and we're accepting them because we're led by stupid people.""
The border will be closed come January, said Trump, among other fixes.
""The country is in free fall,"" he said. ""We're a nation in decline, but we're going to turn it around fast. ... You won't have to send your kids out to war, have your kid blown up in a country you never heard of.""
""I will not send you to fight and die in a foolish, never-ending foreign war. I'll get you out of the wokeness, and your schools will be great again. We'll end left-wing censorship, and I'll defend your God-given rights,"" he added.
About NEWSMAX TV:
NEWSMAX is the fastest-growing cable news channel in America!
- Find Newsmax channel in your home via cable and satellite systems – More Info Here
- Watch Newsmax+ on your home TV app or smartphone and watch it anywhere! Try it for FREE – See More Here: NewsmaxPlus.com
Solange Reyner ✉
Solange Reyner is a writer and editor for Newsmax. She has more than 15 years in the journalism industry reporting and covering news, sports and politics.
© 2024 Newsmax. All rights reserved.",26/10/2024
